id,comment,sentiment,topic,source,post_id,user_name
1,I feel proud of the way the forces handled the situation. The government's actions in Pahalgam are commendable. The government's actions in Pahalgam are commendable. The government's actions in Pahalgam are commendable.,positive,security,youtube,post_0001,user_0001
2,The government's actions in Pahalgam are commendable. This response will boost public confidence in our security.,positive,media,forum,post_0002,user_0002
3,Such bravery and discipline deserve appreciation. Such bravery and discipline deserve appreciation. I feel proud of the way the forces handled the situation.,positive,security,twitter,post_0003,user_0003
4,This has caused more fear than assurance among the public. Authorities seemed unprepared and disorganized.,negative,media,facebook,post_0004,user_0004
5,The response to the Pahalgam tragedy was poorly handled. Authorities seemed unprepared and disorganized. Authorities seemed unprepared and disorganized.,negative,public_reaction,forum,post_0005,user_0005
6,The lack of planning and care is disturbing. The response to the Pahalgam tragedy was poorly handled. This has caused more fear than assurance among the public.,negative,media,facebook,post_0006,user_0006
7,This response will boost public confidence in our security. Such bravery and discipline deserve appreciation. The government's actions in Pahalgam are commendable. This response will boost public confidence in our security.,positive,public_reaction,forum,post_0007,user_0007
8,This response will boost public confidence in our security. The government's actions in Pahalgam are commendable.,positive,public_reaction,facebook,post_0008,user_0008
9,The lack of planning and care is disturbing. Authorities seemed unprepared and disorganized. The response to the Pahalgam tragedy was poorly handled. The lack of planning and care is disturbing.,negative,media,forum,post_0009,user_0009
10,Such bravery and discipline deserve appreciation. The government's actions in Pahalgam are commendable. The government's actions in Pahalgam are commendable. Such bravery and discipline deserve appreciation.,positive,media,twitter,post_0010,user_0010
11,Such bravery and discipline deserve appreciation. This response will boost public confidence in our security. I feel proud of the way the forces handled the situation. This response will boost public confidence in our security.,positive,public_reaction,youtube,post_0011,user_0011
12,This response will boost public confidence in our security. Such bravery and discipline deserve appreciation. The government's actions in Pahalgam are commendable. I feel proud of the way the forces handled the situation.,positive,security,youtube,post_0012,user_0012
13,The government's actions in Pahalgam are commendable. The government's actions in Pahalgam are commendable. The government's actions in Pahalgam are commendable.,positive,media,youtube,post_0013,user_0013
14,Such bravery and discipline deserve appreciation. Such bravery and discipline deserve appreciation. I feel proud of the way the forces handled the situation. The government's actions in Pahalgam are commendable.,positive,public_reaction,forum,post_0014,user_0014
15,The government's actions in Pahalgam are commendable. This response will boost public confidence in our security.,positive,security,youtube,post_0015,user_0015
16,This has caused more fear than assurance among the public. Authorities seemed unprepared and disorganized. The response to the Pahalgam tragedy was poorly handled. The response to the Pahalgam tragedy was poorly handled.,negative,security,forum,post_0016,user_0016
17,This has caused more fear than assurance among the public. Authorities seemed unprepared and disorganized. The lack of planning and care is disturbing.,negative,security,facebook,post_0017,user_0017
18,The response to the Pahalgam tragedy was poorly handled. This has caused more fear than assurance among the public. The response to the Pahalgam tragedy was poorly handled.,negative,media,youtube,post_0018,user_0018
19,Experts are still analyzing the sequence of events. The incident in Pahalgam has raised various questions. This event could affect upcoming regional policies. This event could affect upcoming regional policies.,neutral,security,youtube,post_0019,user_0019
20,Experts are still analyzing the sequence of events. The incident in Pahalgam has raised various questions.,neutral,media,facebook,post_0020,user_0020
21,The government's actions in Pahalgam are commendable. The government's actions in Pahalgam are commendable.,positive,public_reaction,facebook,post_0021,user_0021
22,This event could affect upcoming regional policies. This event could affect upcoming regional policies.,neutral,media,twitter,post_0022,user_0022
23,Authorities seemed unprepared and disorganized. This has caused more fear than assurance among the public.,negative,media,youtube,post_0023,user_0023
24,I feel proud of the way the forces handled the situation. Such bravery and discipline deserve appreciation. Such bravery and discipline deserve appreciation. The government's actions in Pahalgam are commendable.,positive,public_reaction,twitter,post_0024,user_0024
25,Authorities seemed unprepared and disorganized. This has caused more fear than assurance among the public. The lack of planning and care is disturbing.,negative,public_reaction,forum,post_0025,user_0025
26,Experts are still analyzing the sequence of events. The incident in Pahalgam has raised various questions.,neutral,media,forum,post_0026,user_0026
27,The government's actions in Pahalgam are commendable. I feel proud of the way the forces handled the situation.,positive,security,twitter,post_0027,user_0027
28,Authorities seemed unprepared and disorganized. Authorities seemed unprepared and disorganized.,negative,media,facebook,post_0028,user_0028
29,This has caused more fear than assurance among the public. This has caused more fear than assurance among the public. The lack of planning and care is disturbing.,negative,public_reaction,youtube,post_0029,user_0029
30,Multiple viewpoints have emerged regarding the attack. Experts are still analyzing the sequence of events.,neutral,security,youtube,post_0030,user_0030
31,The lack of planning and care is disturbing. The lack of planning and care is disturbing. The lack of planning and care is disturbing.,negative,public_reaction,twitter,post_0031,user_0031
32,Experts are still analyzing the sequence of events. This event could affect upcoming regional policies. Multiple viewpoints have emerged regarding the attack.,neutral,security,twitter,post_0032,user_0032
33,This response will boost public confidence in our security. The government's actions in Pahalgam are commendable. I feel proud of the way the forces handled the situation.,positive,public_reaction,forum,post_0033,user_0033
34,The response to the Pahalgam tragedy was poorly handled. The lack of planning and care is disturbing.,negative,security,facebook,post_0034,user_0034
35,The lack of planning and care is disturbing. The lack of planning and care is disturbing. The response to the Pahalgam tragedy was poorly handled.,negative,public_reaction,twitter,post_0035,user_0035
36,Multiple viewpoints have emerged regarding the attack. The incident in Pahalgam has raised various questions. The incident in Pahalgam has raised various questions. This event could affect upcoming regional policies.,neutral,public_reaction,youtube,post_0036,user_0036
